0,0.2926,0.053116
1,0.282339,0.043554
2,0.375615,0.041056
3,0.470645,0.0401
4,0.416952,0.033139
5,0.329087,0.025766
6,0.517163,0.027976
7,0.387287,0.021245
8,0.408976,0.018945
9,0.394616,0.01623
10,0.51131,0.016401
11,0.473364,0.014035
12,0.405492,0.011438
17,0.408092,0.004765
18,0.449767,0.004392
19,0.515958,0.004226
20,0.490343,0.00368
21,0.503699,0.003347
22,0.547544,0.003173
23,0.599725,0.003071
24,0.712684,0.003237
25,0.69046,0.002945
26,0.679822,0.002709
27,0.726168,0.002667
28,0.733173,0.00252
29,0.7481,0.002407
30,0.779903,0.002352
31,0.943562,0.002705
32,0.897393,0.002461
33,0.9274,0.002441
34,0.944245,0.002391
35,0.960176,0.002343
36,0.993787,0.002348
37,1.077527,0.002504
38,1.140106,0.002619
39,1.177396,0.002669
40,1.198003,0.002672
41,1.155078,0.002485
