0.99,0.05,3.94,0.16,2.13884566
1,0.04,2.81,0.09,2.29068366
0.88,0.06,2.97,0.13,1.32606206
0.95,0.05,2.97,0.1,1.72371301
0.86,0.04,2.94,0.11,1.24489365
0.84,0.07,3.11,0.11,1.20181836
1.08,0.04,2.76,0.07,3.95396085
1.03,0.07,3.38,0.17,2.65961782
0.86,0.08,3.4,0.2,1.27376964
0.74,0.08,2.91,0.18,1.08411124
0.85,0.09,3.42,0.25,1.25802563
0.92,0.05,2.96,0.14,1.51301646
0.69,0.09,2.88,0.2,1.11547236
1.01,0.05,2.87,0.08,2.41987877
0.92,0.05,2.82,0.08,1.51301646
1.02,0.09,2.9,0.26,2.43373098
0.72,0.03,2.69,0.11,1.0240203
0.96,0.05,2.85,0.1,1.81128263
1.08,0.1,2.88,0.17,3.32625613
1.15,0.03,2.49,0.07,5.84822227
0.56,0.05,2.96,0.11,1.32988086
0.9,0.06,2.82,0.11,1.41455314
0.8,0.05,3.01,0.12,1.08928113
0.93,0.04,2.71,0.09,1.56512605
0.66,0.05,2.63,0.11,1.11387511
0.79,0.03,3.12,0.1,1.04767586
0.87,0.05,2.73,0.1,1.28174747
1.02,0.04,2.99,0.11,2.6174386
0.95,0.05,3.05,0.11,1.72371301
0.91,0.05,2.58,0.09,1.45705338
0.87,0.04,2.78,0.1,1.27910063
1,0.03,2.87,0.07,2.30595463
0.82,0.03,2.85,0.11,1.12112468
0.88,0.04,2.62,0.1,1.31553433
1.03,0.04,2.75,0.1,2.80454314
0.74,0.05,2.72,0.09,1.03739079
0.88,0.05,2.84,0.11,1.31976829
0.88,0.05,2.78,0.09,1.31976829
0.85,0.04,2.62,0.1,1.21239921
0.91,0.03,2.82,0.09,1.43529875
0.78,0.03,2.81,0.08,1.0314085
0.9,0.11,2.58,0.21,1.46895334
0.76,0.03,3.08,0.07,1.01228471
0.78,0.04,2.68,0.09,1.04467799
0.72,0.04,2.67,0.15,1.03354331
0.72,0.02,2.74,0.07,1.0162744
0.82,0.05,2.83,0.09,1.13141744
0.28,0.11,2.87,0.17,4.21799869
0.69,0.06,3.14,0.22,1.0798075
