,c2,ec2,c1,ec1,Weight,trueWeight,min,normalized,err
133,0.911,0.1205,-0.857,0.645,0.002492254,1.778701,,1.779351898,0.000650898
134,0.8581,0.0707,0.2159,1.019,0.00205049,1.464173,,1.463952816,0.000220184
135,0.795,0.1542,-0.1539,1.0282,0.001905154,1.358109,,1.360189962,0.002080962
136,0.4709,0.0907,0.9779,1.5964,0.002218462,1.58404,,1.583877151,0.000162849
137,0.2752,0.0798,0.9926,2.5986,0.005050312,3.612748,,3.605684674,0.007063326
138,0.6251,0.0793,0.5122,1.4841,0.001574722,1.123612,,1.124277247,0.000665247
139,0.3799,0.098,2.0621,1.0637,0.003049408,2.179234,,2.177133553,0.002100447
140,0.7891,0.1744,-0.5238,2.2493,0.001956401,1.394437,,1.39677796,0.00234096
141,0.6489,0.0876,0.2539,4.7607,0.001551536,1.106771,,1.107723776,0.000952776
142,0.99,0.1406,-1.4761,0.2336,0.003333808,2.381086,,2.380181507,0.000904493
143,0.6501,0.1155,0.73,1.3175,0.001623137,1.157182,,1.158843108,0.001661108
144,0.5021,0.1711,1.5549,1.3426,0.002152425,1.534472,,1.536730156,0.002258156
145,0.746,0.0597,0.2329,0.7762,0.001499329,1.070056,,1.07045017,0.00039417
146,0.82,0.1565,-0.0081,0.3234,0.001997515,1.424129,,1.426131683,0.002002683
147,0.6089,0.1405,0.1031,5.8277,0.001751712,1.248703,,1.250639388,0.001936388
148,0.3569,0.0928,1.037,1.8857,0.003367243,2.407527,,2.404052923,0.003474077
149,0.6,0.1149,1.8101,2.1184,0.00170067,1.212722,,1.214197838,0.001475838
150,0.399,0.0638,1.3659,0.7706,0.002839732,2.029012,,2.027434808,0.001577192
151,0.4591,0.0675,1.4729,0.6805,0.002287504,1.634044,,1.633169562,0.000874438
152,0.4371,0.0752,0.6453,0.8484,0.002463896,1.760351,,1.759105135,0.001245865
153,0.6472,0.0877,0.9148,1.3412,0.001553986,1.108518,,1.109472333,0.000954333
154,0.4998,0.0765,1.382,0.9958,0.002037699,1.45491,,1.454820693,8.9307E-05
155,0.4008,0.1147,1.7461,2.0159,0.002798324,1.998856,,1.997871588,0.000984412
156,0.5058,0.0445,1.1075,1.0549,0.002002852,1.430531,,1.429941957,0.000589043
157,0.747,0.1209,0.0561,3.537,0.001679275,1.197272,,1.198922818,0.001650818
158,0.325,0.1095,1.5481,1.8041,0.003801227,2.718372,,2.713896808,0.004475192
159,0.758,0.0329,0.2869,0.6976,0.001476877,1.054486,,1.054420536,6.5464E-05
160,0.9099,0.2495,-1.1669,0.6035,0.002667087,1.90076,,1.904174247,0.003414247
161,0.633,0.1092,0.8001,1.3542,0.00162603,1.159551,,1.160908845,0.001357845
162,0.44,0.032,0.5088,2.2551,0.002389566,1.706667,,1.706037469,0.000629531
163,0.5571,0.0409,0.4409,2.5939,0.001765055,1.260979,,1.260165677,0.000813323
164,1.0709,0.3281,0,1.1602,0.003901666,2.780534,,2.785605128,0.005071128
165,0.734,0.1254,1.0099,0.9403,0.001673486,1.193013,,1.194790337,0.001777337
166,0.6242,0.0744,0.5541,1.0976,0.001568607,1.11936,,1.119911079,0.000551079
167,0.675,0.1448,0.7621,1.5631,0.001704536,1.215048,,1.216958282,0.001910282
168,0.58,0.1031,0.8459,1.0128,0.001727847,1.232509,,1.233601512,0.001092512
169,0.954,0.1675,0.0333,0.2223,0.002867787,2.045838,,2.047464297,0.001626297
