,c2,ec2,c1,ec1,Weight,trueWeight,min,normalized,err
361,0.411,0.1409,1.2531,1.364,0.0026871,1.917822,,1.918462605,0.000640605
362,0.783,0.072,0.1181,1.1091,0.001634241,1.166125,,1.16677126,0.00064626
363,0.4441,0.0482,1.4271,0.5952,0.002382613,1.702,,1.701073398,0.000926602
364,0.6151,0.0906,1.6529,1.1787,0.00161625,1.152937,,1.153926113,0.000989113
365,0.473,0.0787,1.1309,1.8884,0.002198644,1.570201,,1.569728255,0.000472745
366,0.553,0.0838,0.775,2.4154,0.001794959,1.280888,,1.281516266,0.000628266
367,0.7531,0.0477,0.0151,1.5621,0.001488844,1.062831,,1.062964194,0.000133194
368,0.9129,0.1589,-0.4749,1.4353,0.002518088,1.79634,,1.797796218,0.001456218
369,0.736,0.0805,0.2971,1.5329,0.001536656,1.096291,,1.097099729,0.000808729
370,0.9089,0.0878,-0.5549,0.5795,0.002497933,1.783876,,1.783406251,0.000469749
371,0.7091,0.0794,0.33,0.6246,0.001505537,1.07403,,1.074882448,0.000852448
372,0.5799,0.1011,1.0909,1.1138,0.00172469,1.230237,,1.231347257,0.001110257
373,0.6739,0.052,0.4301,0.8271,0.001447239,1.032995,,1.033260538,0.000265538
374,0.8531,0.0796,-0.1749,0.8132,0.002017427,1.44028,,1.440347894,6.78937E-05
375,0.789,0.0859,0.0441,1.8273,0.001688474,1.204651,,1.205490725,0.000839725
376,0.836,0.0637,0.1911,1.0662,0.001889987,1.349287,,1.349361828,7.48277E-05
377,0.922,0.1036,-0.786,0.7121,0.002613679,1.866559,,1.866043316,0.000515684
378,0.737,0.0599,0.021,6.5845,0.001483007,1.058367,,1.058796674,0.000429674
379,0.843,0.1396,-0.6031,1.9331,0.002052335,1.463695,,1.465270403,0.001575403
380,0.7959,0.0748,-0.2231,0.6436,0.001690743,1.206457,,1.207110606,0.000653606
381,0.8,0.0708,0,0.17,0.001700741,1.21388,,1.214248575,0.000368575
382,0.7581,0.063,-0.1851,0.6489,0.001535611,1.095916,,1.096354003,0.000438003
383,0.654,0.0456,0.0041,1.0342,0.001466756,1.047073,,1.047194559,0.000121559
384,0.6399,0.045,0.7739,0.8026,0.001496322,1.068306,,1.068303226,2.7737E-06
385,0.8,0.0592,0.279,0.7372,0.00168118,1.200052,,1.20028319,0.00023119
386,0.6889,0.0408,0.3479,0.5424,0.001413349,1.009001,,1.009064197,6.31966E-05
387,0.7641,0.0527,0.0029,1.9264,0.001529754,1.091859,,1.092172027,0.000313027
388,0.4221,0.034,0.8831,0.5945,0.002542923,1.816277,,1.815527363,0.000749637
389,0.7211,0.0509,0.077,2.8592,0.001440338,1.02804,,1.02833338,0.00029338
390,0.4439,0.0431,0.8969,0.6549,0.00237784,1.69838,,1.697665415,0.000714585
391,0.71,0.0357,0.2751,0.2611,0.001400653,1,,1,0
392,0.77,0.0854,-0.4239,0.769,0.001625151,1.15943,,1.16028083,0.00085083
393,0.693,0.0689,0.524,1.4137,0.0014739,1.051724,,1.052295279,0.000571279
394,0.7771,0.1352,0.5538,1.8012,0.001792805,1.278194,,1.27997818,0.00178418
395,0.7191,0.0806,0.252,1.7873,0.001516224,1.081815,,1.082512674,0.000697674
396,0.702,0.0799,0.8981,1.0741,0.001503928,1.072876,,1.073733741,0.000857741
397,0.3909,0.0413,1.2061,0.8978,0.002927986,2.092073,,2.090443579,0.001629421
398,0.6619,0.0551,0.5261,1.1631,0.001467923,1.047745,,1.048027896,0.000282896
399,0.7864,0.1341,0.0976,0.3183,0.00181536,1.294394,,1.29608112,0.00168712
400,0.1779,0.0598,1.969,1.1424,0.008258591,5.907384,,5.896243967,0.011140033
401,0.491,0.0468,1.275,0.5545,0.002081329,1.486819,,1.485970622,0.000848378
402,0.5591,0.102,0.527,1.0957,0.001793064,1.279113,,1.280163399,0.001050399
403,0.555,0.0311,0.525,0.51,0.001770965,1.26512,,1.26438512,0.00073488
404,0.7699,0.0615,-0.2619,0.8363,0.001566338,1.118057,,1.118291304,0.000234304
405,0.7199,0.0713,0.1,0.6914,0.001491036,1.063785,,1.064529349,0.000744349
406,0.4739,0.0797,1.1021,1.1699,0.002193284,1.566664,,1.565901233,0.000762767
407,0.5521,0.0498,0.5191,1.4094,0.001786625,1.276173,,1.275565921,0.000607079
408,0.9199,0.0752,0.742,0.7652,0.002639582,1.885872,,1.884537092,0.001334908
409,0.7881,0.0494,-0.1564,1.0656,0.0016124,1.151089,,1.151177186,8.81859E-05
410,0.849,0.0525,-0.4931,0.4794,0.001978938,1.413125,,1.412868198,0.000256802
411,0.189,0.0759,1.9487,1.8217,0.007686292,5.502633,,5.487649928,0.014983072
412,0.6119,0.0966,0.2559,1.1053,0.001634814,1.166034,,1.167179833,0.001145833
413,0.3651,0.0798,1.6699,1.2581,0.00327775,2.342846,,2.340158697,0.002687303
414,0.3149,0.0744,1.8939,1.6108,0.004186349,2.992655,,2.988855336,0.003799664
415,0.35,0.0601,1.19,1.103,0.003571669,2.553229,,2.550002766,0.003226234
416,0.1149,0.0278,2.3691,1.0069,0.011107715,7.940508,,7.930384069,0.010123931
417,2.267,0.204,-4.938,0.634,0.137047052,97.918554,,97.84512834,0.07342566
418,2.382,0.092,-5.17,0.289,0.121499567,86.670042,,86.74495721,0.074915213
419,2.264,0.222,-4.495,0.687,0.139166686,99.508235,,99.3584465,0.149788499
420,2.328,0.276,-5.382,0.808,0.154297562,110.663615,,110.1611781,0.50243693
421,1.038,0.074,-0.856,0.246,0.004677392,3.346485,,3.339437382,0.007047618
422,1.247,0.197,-1.547,0.509,0.008963608,6.434752,,6.399593116,0.035158884
423,1.58,0.23,-2.689,0.487,0.035426258,25.917314,,25.2926765,0.624637501
424,1.373,0.275,-2.443,0.662,0.011492497,8.246102,,8.205100679,0.041001321
425,1.101,0.205,-1.139,0.493,0.004694531,3.353025,,3.351673381,0.001351619
426,1.509,0.237,-3.083,0.612,0.025015782,18.242525,,17.860088,0.382437
427,1.821,0.281,-3.926,0.755,0.067354907,49.827014,,48.08822521,1.738788794
428,1.35,0.196,-2.669,0.551,0.014591025,10.541976,,10.41730306,0.124672943
429,0.809,0.142,0.468,0.282,0.001913777,1.364524,,1.3663465,0.0018225
430,1.153,0.192,-1.707,0.567,0.005983787,4.281252,,4.272141716,0.009110284
431,0.902,0.116,-0.724,0.282,0.002413849,1.722897,,1.723374332,0.000477332
432,1.051,0.115,-0.96,0.276,0.004570301,3.270788,,3.262979212,0.007808788
433,1.781,0.347,-3.914,0.851,0.041100553,30.389603,,29.34385542,1.045747581
434,0.696,0.053,-0.152,0.07,0.001435588,1.024641,,1.024942184,0.000301184
435,1.082,0.13,-1.076,0.343,0.005106765,3.656042,,3.645989058,0.010052942
436,1.388,0.243,-2.318,0.507,0.014074183,10.145327,,10.04830223,0.097024767
437,0.992,0.102,-1.262,0.327,0.003552907,2.540154,,2.536608077,0.003545923
438,1.217,0.144,-1.243,0.342,0.009372486,6.736616,,6.691512611,0.045103389
439,1.182,0.087,-1.559,0.187,0.009189106,6.581634,,6.560588222,0.021045778
440,1.594,0.3,-2.791,0.703,0.025755744,18.763105,,18.3883858,0.374719202
