0.6271,0.0676,2.77,0.19,1.107684,,,,,,
0.8599,0.2956,2.03,0.66,1.862792,,,,,,
0.8599,0.0688,2.75,0.14,1.474027,,,,,,
1.1091,0.2214,2.75,0.41,3.358238,,,,,,
0.7489,0.0638,2.69,0.15,1.081496,,,,,,
0.9479,0.2332,3.04,0.73,2.036045,,,,,,
0.8571,0.1169,3.02,0.24,1.487768,,,,,,
0.712,0.0677,2.75,0.18,1.052638,,,,,,
0.907,0.151,2.59,0.31,1.760197,,,,,,
1.0859,0.0726,2.53,0.11,4.260696,,,,,,
0.758,0.0837,3.09,0.25,1.133636,,,,,,
0.8791,0.0832,3.29,0.22,1.585491,,,,,,
0.758,0.0731,2.8,0.2,1.113385,,,,,,
0.679,0.0771,2.99,0.19,1.069507,,,,,,
1.1891,0.1373,3.15,0.21,6.002571,,,,,,
0.862,0.0655,2.99,0.15,1.48602,,,,,,
0.497,0.0639,3.07,0.15,1.463434,,,,,,
0.627,0.0576,2.88,0.17,1.099308,,,,,,
0.8377,0.1462,2.63,0.16,1.456824,,,,,,
0.7961,0.0818,2.9,0.21,1.217465,,,,,,
0.8171,0.0599,2.32,0.14,1.264264,,,,,,
1.048,0.1136,2.57,0.16,3.235256,,,,,,
0.682,0.0679,2.77,0.19,1.052417,,,,,,
0.8119,0.0577,2.71,0.12,1.242033,,,,,,
0.5709,0.0655,2.62,0.2,1.225587,,,,,,
0.972,0.089,2.61,0.12,2.359269,,,,,,
0.933,0.0951,2.98,0.3,1.965915,,,,,,
0.656,0.0535,2.66,0.18,1.052496,,,,,,
0.5771,0.0636,2.89,0.15,1.209075,,,,,,
0.696,0.043,2.81,0.1,1.009684,,,,,,
0.9329,0.0572,2.92,0.11,2.032008,,,,,,
0.8301,0.0832,2.93,0.11,1.337761,,,,,,
0.9231,0.0668,2.52,0.13,1.925879,,,,,,
0.8299,0.1003,2.66,0.18,1.357197,,,,,,
0.7231,0.0477,2.91,0.11,1.024364,,,,,,
0.754,0.0679,2.89,0.18,1.097168,,,,,,
0.1969,0.0563,2.9,0.28,5.462204,,,,,,
0.3191,0.0647,3.11,0.39,2.974884,,,,,,
0.0399,0.0131,3.44,0.45,10.000334,,,,,,
1.2006,0.0662,2.76,0.12,7.418546,,,,,,
0.7731,0.155,2.86,0.51,1.317794,,,,,,
0.9611,0.1714,2.51,0.16,2.092483,,,,,,
0.8161,0.1392,2.79,0.13,1.377941,,,,,,
0.6019,0.0984,2.59,0.24,1.184819,,,,,,
0.5459,0.0525,3.62,0.19,1.294824,,,,,,
0.7232,0.0553,4.04,0.22,1.037024,,,,,,
0.6011,0.0948,3.01,0.33,1.181548,,,,,,
0.6489,0.0717,2.88,0.21,1.083058,,,,,,
0.6691,0.0826,2.84,0.28,1.083666,,,,,,
0.3849,0.076,2.97,0.37,2.152179,,,,,,
0.4791,0.0537,3.4,0.22,1.535789,,,,,,
0.1668,0.0465,4.95,0.35,6.227247,,,,,,
0.3451,0.0874,3.36,0.36,2.548809,,,,,,
0.5901,0.0729,3,0.23,1.182657,,,,,,
-0.15,0.0716,4.84,0.52,33.529465,,,,,,
-0.3292,0.1101,6.33,0.6,95.257844,,,,,,
-0.1146,0.0842,5.73,0.69,26.102158,,,,,,
-0.1928,0.0159,4.82,0.39,25.481146,,,,,,
0.1162,0.0491,5.84,0.26,7.931484,,,,,,
0.1219,0.0658,5.67,1.03,7.595166,,,,,,
0,0.429,4.29,0.21,4.994845,,,,,,
0.1999,0.1007,3.83,0.51,4.960233,,,,,,
0.5432,0.0863,3.55,0.44,1.31049,,,,,,
0.3056,0.0568,3.74,0.31,3.235389,,,,,,
0.5171,0.0815,2.9,0.29,1.392524,,,,,,
0.035,0.0104,4.93,0.44,9.280758,,,,,,
0.6249,0.0692,3.01,0.23,1.112922,,,,,,
0.773,0.075,2.81,0.19,1.147123,,,,,,
0.766,0.0911,3.12,0.29,1.162561,,,,,,
0.6769,0.101,2.91,0.22,1.115569,,,,,,
0.8213,0.1264,3.16,0.45,1.369015,,,,,,
1.1269,0.1205,3.33,0.17,4.651506,,,,,,
0.884,0.0734,3.46,0.19,1.619918,,,,,,
0.6489,0.0698,4.42,0.3,1.080557,,,,,,
0.8781,0.1043,2.66,0.21,1.581783,,,,,,
0.5541,0.0734,2.79,0.25,1.273451,,,,,,
