-0.3292,0.1145,0.714,0.186,87.95971
-0.1928,0.0223,0.827,0.029,29.501424
-0.1500,0.0734,0.809,0.052,31.161589
-0.1146,0.0854,0.910,0.098,24.022995
-0.0552,0.0168,1.015,0.034,16.733019
-0.0504,0.0354,0.825,0.027,16.824893
-0.0201,0.0071,0.913,0.030,11.008152
0.0000,0.4290,0.901,0.029,4.702884
0.0150,0.0059,0.964,0.020,8.405402
0.0350,0.0108,0.870,0.029,8.606067
0.0399,0.0141,0.628,0.033,9.221883
0.1131,0.1005,0.871,0.077,6.740604
0.1149,0.0288,0.949,0.053,7.103437
0.1162,0.0493,1.081,0.036,7.084585
0.1219,0.0694,0.890,0.108,6.775195
0.1228,0.0278,0.951,0.030,6.689329
0.1360,0.0844,0.919,0.060,6.231513
0.1451,0.0454,0.879,0.029,6.130629
0.1610,0.0466,0.887,0.029,5.730538
0.1668,0.0480,0.707,0.024,5.597561
0.1779,0.0641,0.804,0.026,5.297976
0.1890,0.0820,0.788,0.033,4.921963
0.1969,0.0594,0.915,0.030,4.909216
0.1970,0.0733,0.848,0.028,4.816937
0.1999,0.1042,0.811,0.070,4.478781
0.2160,0.0679,0.803,0.047,4.465477
0.2229,0.0821,0.873,0.036,4.218635
0.2321,0.0769,0.999,0.034,4.085102
0.2540,0.0506,0.819,0.024,3.873948
0.2640,0.0300,0.790,0.026,3.777564
0.2752,0.0831,0.992,0.061,3.297888
0.2771,0.0758,0.819,0.033,3.314899
0.2800,0.0679,0.796,0.026,3.318467
0.2907,0.0990,0.957,0.032,2.979463
0.3056,0.0622,0.923,0.028,2.956735
0.3111,0.0502,1.066,0.030,2.933488
0.3149,0.0890,0.876,0.029,2.709892
0.3151,0.1431,0.837,0.044,2.519887
0.3191,0.0761,1.114,0.036,2.707119
0.3200,0.1370,0.948,0.031,2.489806
0.3250,0.1425,0.897,0.029,2.427149
0.3319,0.0748,0.808,0.028,2.551538
0.3447,0.1295,0.706,0.063,2.2796
0.3451,0.0949,0.829,0.028,2.351185
0.3500,0.0602,0.825,0.027,2.376075
0.3509,0.0643,0.970,0.031,2.356828
0.3531,0.1232,0.835,0.034,2.219081
0.3569,0.0991,0.810,0.030,2.228556
0.3651,0.0928,0.833,0.027,2.163717
0.3709,0.0876,0.971,0.029,2.118851
0.3720,0.0536,0.810,0.027,2.144179
0.3721,0.0926,0.809,0.027,2.10241
0.3731,0.1268,0.651,0.022,2.054125
0.3762,0.0721,0.880,0.029,2.087482
0.3789,0.0818,0.758,0.040,2.055213
0.3799,0.1085,0.799,0.026,2.022067
0.3799,0.1020,0.774,0.025,2.028265
0.3800,0.0459,0.932,0.016,2.067404
0.3849,0.0899,0.823,0.025,1.999079
